Safety Program (SP) data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rows are sorted by submitting_opid, system_type, record_created",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_AS_OF,RECORD_SOURCE,RECORD_CREATED,SUBMITTING_OPID,SUBMITTING_OPID_STATUS,SUBMITTING_OPID_NAME,SYSTEM_TYPE,D&A_PRIMARY_OPID,D&A_PRIMARY_NAME,D&A_STATUS,D&A_ENTER_DATE,D&A_EXIT_DATE,OME_PRIMARY_OPID,OME_PRIMARY_NAME,OME_STATUS,OME_ENTER_DATE,OME_EXIT_DATE,DP_PRIMARY_OPID,DP_PRIMARY_NAME,DP_STATUS,DP_ENTER_DATE,DP_EXIT_DATE,PA_PRIMARY_OPID,PA_PRIMARY_NAME,PA_STATUS,PA_ENTER_DATE,PA_EXIT_DATE,CRM_PRIMARY_OPID,CRM_PRIMARY_NAME,CRM_STATUS,CRM_ENTER_DATE,CRM_EXIT_DATE,OQ_PRIMARY_OPID,OQ_PRIMARY_NAME,OQ_STATUS,OQ_ENTER_DATE,OQ_EXIT_DATE,IM_PRIMARY_OPID,IM_PRIMARY_NAME,IM_STATUS,IM_ENTER_DATE,IM_EXIT_DATE,OPA_PRIMARY_OPID,OPA_PRIMARY_NAME,OPA_STATUS,OPA_ENTER_DATE,OPA_EXIT_DATE
12/15/21,Operator Validation,6/19/12,32386,INACTIVE,OILTANKING BEAUMONT PARTNERS L.P.,Hazardous Liquid,32386,OILTANKING BEAUMONT PARTNERS L.P.,Current,2/24/09,,32386,OILTANKING BEAUMONT PARTNERS L.P.,Current,2/24/09,,32386,OILTANKING BEAUMONT PARTNERS L.P.,Current,2/24/09,,32386,OILTANKING BEAUMONT PARTNERS L.P.,Current,2/24/09,,32386,OILTANKING BEAUMONT PARTNERS L.P.,Current,2/24/09,,32386,OILTANKING BEAUMONT PARTNERS L.P.,Current,2/24/09,,32386,OILTANKING BEAUMONT PARTNERS L.P.,Current,2/24/09,,32386,OILTANKING BEAUMONT PARTNERS L.P.,Current,2/24/09,
12/15/21,Operator Validation,2/12/13,32387,ACTIVE,"JPC ENERGY, LLC",Gas Distribution,32387,"JPC ENERGY, LLC",Current,2/24/09,,32387,"JPC ENERGY, LLC",Current,2/24/09,,32387,"JPC ENERGY, LLC",Current,2/24/09,,32387,"JPC ENERGY, LLC",Current,2/24/09,,32387,"JPC ENERGY, LLC",Current,2/24/09,,32387,"JPC ENERGY, LLC",Current,2/24/09,,32387,"JPC ENERGY, LLC",Current,2/24/09,,,,,,
12/15/21,Type C Notification,5/11/15,32388,INACTIVE,"LINN OPERATING, LLC",Gas Distribution,32388,"LINN OPERATING, INC",Current,8/15/14,,32388,"LINN OPERATING, INC",Current,8/15/14,,32388,"LINN OPERATING, INC",Current,8/15/14,,32388,"LINN OPERATING, INC",Current,8/15/14,,,,,,,32388,"LINN OPERATING, INC",Current,8/15/14,,32388,"LINN OPERATING, INC",Current,8/15/14,,,,,,
12/15/21,Operator Validation,10/2/12,32388,INACTIVE,"LINN OPERATING, LLC",Gas Gathering,32388,"LINN OPERATING, INC",Current,3/3/09,,32388,"LINN OPERATING, INC",Current,3/3/09,,32388,"LINN OPERATING, INC",Current,3/3/09,,32388,"LINN OPERATING, INC",Current,3/3/09,,32388,"LINN OPERATING, INC",Current,3/3/09,,32388,"LINN OPERATING, INC",Current,3/3/09,,,,,,,,,,,
12/15/21,Operator Validation,10/2/12,32388,INACTIVE,"LINN OPERATING, LLC",Gas Transmission,32388,"LINN OPERATING, INC",Current,3/3/09,,32388,"LINN OPERATING, INC",Current,3/3/09,,32388,"LINN OPERATING, INC",Current,3/3/09,,32388,"LINN OPERATING, INC",Current,3/3/09,,32388,"LINN OPERATING, INC",Current,3/3/09,,32388,"LINN OPERATING, INC",Current,3/3/09,,32388,"LINN OPERATING, INC",Current,3/3/09,,,,,,
12/15/21,Type C Notification,11/2/17,32388,INACTIVE,"LINN OPERATING, LLC",Hazardous Liquid,32388,"LINN OPERATING, INC",Current,11/1/14,,32388,"LINN OPERATING, INC",Current,11/1/14,,32388,"LINN OPERATING, INC",Current,11/1/14,,32388,"LINN OPERATING, INC",Current,11/1/14,,,,,,,32388,"LINN OPERATING, INC",Current,11/1/14,,32388,"LINN OPERATING, INC",Current,11/1/14,,32388,"LINN OPERATING, INC",Current,11/1/14,
12/15/21,Operator Validation,11/30/12,32389,ACTIVE,"CENTAURI TECHNOLOGIES, LP",Gas Transmission,32389,"CENTAURI TECHNOLOGIES, LP",Current,3/4/09,,32389,"CENTAURI TECHNOLOGIES, LP",Current,3/4/09,,32389,"CENTAURI TECHNOLOGIES, LP",Current,3/4/09,,32389,"CENTAURI TECHNOLOGIES, LP",Current,3/4/09,,32389,"CENTAURI TECHNOLOGIES, LP",Current,3/4/09,,32389,"CENTAURI TECHNOLOGIES, LP",Current,3/4/09,,32389,"CENTAURI TECHNOLOGIES, LP",Current,3/4/09,,,,,,
12/15/21,Operator Validation,12/3/12,32391,ACTIVE,NRG TEXAS POWER LLC,Gas Transmission,32391,NRG TEXAS POWER LLC,Current,3/4/09,,32391,NRG TEXAS POWER LLC,Current,3/4/09,,32391,NRG TEXAS POWER LLC,Current,3/4/09,,32391,NRG TEXAS POWER LLC,Current,3/4/09,,32391,NRG TEXAS POWER LLC,Current,3/4/09,,32391,NRG TEXAS POWER LLC,Current,3/4/09,,32391,NRG TEXAS POWER LLC,Current,3/4/09,,,,,,
12/15/21,Operator Validation,3/4/13,32392,ACTIVE,WESTFIELD GAS AND ELECTRIC CO-OPERATIVE,Gas Distribution,22511,Westfield,Current,3/4/09,,22511,Westfield,Current,3/4/09,,22511,Westfield,Current,3/4/09,,22511,Westfield,Current,3/4/09,,22511,Westfield,Current,3/4/09,,22511,Westfield,Current,3/4/09,,22511,Westfield,Current,3/4/09,,,,,,
12/15/21,Operator Validation,9/28/12,32393,ACTIVE,"FREEBIRD GAS STORAGE, LLC",Gas Transmission,32393,"FREEBIRD GAS STORAGE, LLC",Current,3/6/09,,32393,"FREEBIRD GAS STORAGE, LLC",Current,3/6/09,,32393,"FREEBIRD GAS STORAGE, LLC",Current,3/6/09,,32393,"FREEBIRD GAS STORAGE, LLC",Current,3/6/09,,32393,"FREEBIRD GAS STORAGE, LLC",Current,3/6/09,,32393,"FREEBIRD GAS STORAGE, LLC",Current,3/6/09,,32393,"FREEBIRD GAS STORAGE, LLC",Current,3/6/09,,,,,,
12/15/21,Type C Notification,10/24/19,32393,ACTIVE,"FREEBIRD GAS STORAGE, LLC",UNGS,31705,KATY STORAGE & TRANSPORTATION LP,Current,1/18/17,,31705,KATY STORAGE & TRANSPORTATION LP,Current,1/18/17,,,,,,,,,,,,,,,,,,,,,,31705,KATY STORAGE & TRANSPORTATION LP,Current,1/18/17,,,,,,
12/15/21,Operator Validation,9/28/12,32394,ACTIVE,"CALEDONIA ENERGY PARTNERS, LLC",Gas Transmission,32394,"CALEDONIA ENERGY PARTNERS, LLC",Current,3/6/09,,32394,"CALEDONIA ENERGY PARTNERS, LLC",Current,3/6/09,,32394,"CALEDONIA ENERGY PARTNERS, LLC",Current,3/6/09,,32394,"CALEDONIA ENERGY PARTNERS, LLC",Current,3/6/09,,32394,"CALEDONIA ENERGY PARTNERS, LLC",Current,3/6/09,,32394,"CALEDONIA ENERGY PARTNERS, LLC",Current,3/6/09,,32394,"CALEDONIA ENERGY PARTNERS, LLC",Current,3/6/09,,,,,,
12/15/21,Type C Notification,10/24/19,32394,ACTIVE,"CALEDONIA ENERGY PARTNERS, LLC",UNGS,31705,KATY STORAGE & TRANSPORTATION LP,Current,1/18/17,,31705,KATY STORAGE & TRANSPORTATION LP,Current,1/18/17,,,,,,,,,,,,,,,,,,,,,,31705,KATY STORAGE & TRANSPORTATION LP,Current,1/18/17,,,,,,
12/15/21,Operator Validation,12/5/12,32395,ACTIVE,J.R. SIMPLOT COMPANY,Gas Transmission,32395,J.R. SIMPLOT COMPANY,Current,3/6/09,,32395,J.R. SIMPLOT COMPANY,Current,3/6/09,,32395,J.R. SIMPLOT COMPANY,Current,3/6/09,,32395,J.R. SIMPLOT COMPANY,Current,3/6/09,,32395,J.R. SIMPLOT COMPANY,Current,3/6/09,,32395,J.R. SIMPLOT COMPANY,Current,3/6/09,,32395,J.R. SIMPLOT COMPANY,Current,3/6/09,,,,,,
12/15/21,Type C Notification,1/29/19,32396,ACTIVE,"BOBCAT GAS STORAGE (SPECTRA ENERGY PARTNERS, LP)",Gas Transmission,11169,Enbridge,Current,1/14/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/21,Type C Notification,2/1/18,32396,ACTIVE,"BOBCAT GAS STORAGE (SPECTRA ENERGY PARTNERS, LP)",Gas Transmission,,,,,,,,,,,,,,,,11169,Enbridge,Current,1/2/18,,,,,,,,,,,,,,,,,,,,,
12/15/21,Operator Validation,5/4/12,32396,ACTIVE,"BOBCAT GAS STORAGE (SPECTRA ENERGY PARTNERS, LP)",Gas Transmission,19235,ENBRIDGE,Superseded,3/6/09,1/14/19,19235,ENBRIDGE,Current,3/6/09,,19235,ENBRIDGE,Current,3/6/09,,19235,ENBRIDGE,Superseded,3/6/09,1/2/18,19235,ENBRIDGE,Current,3/6/09,,19235,ENBRIDGE,Current,3/6/09,,19235,ENBRIDGE,Current,3/6/09,,,,,,
12/15/21,Type C Notification,10/22/19,32396,ACTIVE,"BOBCAT GAS STORAGE (SPECTRA ENERGY PARTNERS, LP)",UNGS,,,,,,19235,ENBRIDGE,Current,1/19/17,,,,,,,,,,,,,,,,,,,,,,19235,ENBRIDGE,Current,1/19/17,,,,,,
12/15/21,Type C Notification,10/8/19,32396,ACTIVE,"BOBCAT GAS STORAGE (SPECTRA ENERGY PARTNERS, LP)",UNGS,11169,Enbridge,Current,1/18/17,,32396,BOBCAT GAS STORAGE,Superseded,1/18/17,1/19/17,,,,,,,,,,,,,,,,,,,,,32396,BOBCAT GAS STORAGE,Superseded,1/18/17,1/19/17,,,,,
12/15/21,Operator Validation,9/24/12,32397,ACTIVE,"GLENWOOD ENERGY OF OXFORD, INC.",Gas Distribution,32397,"GLENWOOD ENERGY OF OXFORD, INC.",Current,3/13/09,,32397,"GLENWOOD ENERGY OF OXFORD, INC.",Current,3/13/09,,32397,"GLENWOOD ENERGY OF OXFORD, INC.",Current,3/13/09,,32397,"GLENWOOD ENERGY OF OXFORD, INC.",Current,3/13/09,,32397,"GLENWOOD ENERGY OF OXFORD, INC.",Current,3/13/09,,32397,"GLENWOOD ENERGY OF OXFORD, INC.",Current,3/13/09,,32397,"GLENWOOD ENERGY OF OXFORD, INC.",Current,3/13/09,,,,,,
12/15/21,Operator Validation,12/6/12,32399,ACTIVE,"SOLVAY CHEMICALS, INC.",Gas Distribution,32399,"SOLVAY CHEMICALS, INC.",Current,3/13/09,,32399,"SOLVAY CHEMICALS, INC.",Current,3/13/09,,32399,"SOLVAY CHEMICALS, INC.",Current,3/13/09,,32399,"SOLVAY CHEMICALS, INC.",Current,3/13/09,,32399,"SOLVAY CHEMICALS, INC.",Current,3/13/09,,32399,"SOLVAY CHEMICALS, INC.",Current,3/13/09,,32399,"SOLVAY CHEMICALS, INC.",Current,3/13/09,,,,,,
12/15/21,Created by PHMSA,2/18/16,32401,ACTIVE,FARADAY PIPELINE COMPANY,Gas Gathering,32401,FARADAY PIPELINE COMPANY,Current,2/18/16,,32401,FARADAY PIPELINE COMPANY,Current,2/18/16,,32401,FARADAY PIPELINE COMPANY,Current,2/18/16,,32401,FARADAY PIPELINE COMPANY,Current,2/18/16,,32401,FARADAY PIPELINE COMPANY,Current,2/18/16,,32401,FARADAY PIPELINE COMPANY,Current,2/18/16,,,,,,,,,,,
12/15/21,Type C Notification,11/20/19,32402,ACTIVE,LOUIS DREYFUS COMPANY,Gas Transmission,32402,LOUIS DREYFUS COMMODITIES GRAND JUNCTION,Current,11/20/19,,,,,,,,,,,,,,,,,,,,,,32402,LOUIS DREYFUS COMMODITIES GRAND JUNCTION,Current,11/20/19,,,,,,,,,,,
12/15/21,Operator Validation,9/26/12,32402,ACTIVE,LOUIS DREYFUS COMPANY,Gas Transmission,31814,USDI,Superseded,3/17/09,11/20/19,32402,LOUIS DREYFUS COMMODITIES GRAND JUNCTION,Current,3/17/09,,32402,LOUIS DREYFUS COMMODITIES GRAND JUNCTION,Current,3/17/09,,32402,LOUIS DREYFUS COMMODITIES GRAND JUNCTION,Current,3/17/09,,32402,LOUIS DREYFUS COMMODITIES GRAND JUNCTION,Current,3/17/09,,31814,USDI,Superseded,3/17/09,11/20/19,32402,LOUIS DREYFUS COMMODITIES GRAND JUNCTION,Current,3/17/09,,,,,,
12/15/21,Operator Validation,2/6/13,32403,ACTIVE,TIMBERLINE ENERGY LLC,Gas Transmission,32403,TIMBERLINE ENERGY LLC,Current,3/18/09,,32403,TIMBERLINE ENERGY LLC,Current,3/18/09,,32403,TIMBERLINE ENERGY LLC,Current,3/18/09,,32403,TIMBERLINE ENERGY LLC,Current,3/18/09,,32403,TIMBERLINE ENERGY LLC,Current,3/18/09,,32403,TIMBERLINE ENERGY LLC,Current,3/18/09,,32403,TIMBERLINE ENERGY LLC,Current,3/18/09,,,,,,
12/15/21,Type C Notification,5/13/21,32404,ACTIVE,"CEI PIPELINE, LLC",Gas Transmission,32404,"CEI PIPELINE, LLC",Current,5/13/21,,32404,"CEI PIPELINE, LLC",Current,5/13/21,,32404,"CEI PIPELINE, LLC",Current,5/13/21,,32404,"CEI PIPELINE, LLC",Current,5/13/21,,32404,"CEI PIPELINE, LLC",Current,5/13/21,,32404,"CEI PIPELINE, LLC",Current,5/13/21,,32404,"CEI PIPELINE, LLC",Current,5/13/21,,,,,,
12/15/21,Operator Validation,4/13/12,32404,ACTIVE,"CEI PIPELINE, LLC",Gas Transmission,31672,Chaparral,Superseded,3/19/09,5/13/21,31672,Chaparral,Superseded,3/19/09,5/13/21,31672,Chaparral,Superseded,3/19/09,5/13/21,31672,Chaparral,Superseded,3/19/09,5/13/21,31672,Chaparral,Superseded,3/19/09,5/13/21,31672,Chaparral,Superseded,3/19/09,5/13/21,31672,Chaparral,Superseded,3/19/09,5/13/21,,,,,
12/15/21,Type C Notification,8/7/20,32405,ACTIVE,"WYCKOFF GAS STORAGE COMPANY, LLC",Gas Transmission,32405,"WYCKOFF GAS STORAGE COMPANY, LLC",Current,3/31/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/21,Type C Notification,10/11/19,32405,ACTIVE,"WYCKOFF GAS STORAGE COMPANY, LLC",Gas Transmission,30718,KAISER-FRANCIS OIL COMPANY,Superseded,10/11/19,3/31/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/21,Type C Notification,10/1/19,32405,ACTIVE,"WYCKOFF GAS STORAGE COMPANY, LLC",Gas Transmission,32405,"WYCKOFF GAS STORAGE COMPANY, LLC",Superseded,10/1/19,10/11/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/21,Type C Notification,3/12/19,32405,ACTIVE,"WYCKOFF GAS STORAGE COMPANY, LLC",Gas Transmission,30718,KAISER-FRANCIS OIL COMPANY,Superseded,3/12/19,10/1/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/21,Operator Validation,12/3/12,32405,ACTIVE,"WYCKOFF GAS STORAGE COMPANY, LLC",Gas Transmission,32405,"WYCKOFF GAS STORAGE COMPANY, LLC",Superseded,3/19/09,3/12/19,32405,"WYCKOFF GAS STORAGE COMPANY, LLC",Current,3/19/09,,32405,"WYCKOFF GAS STORAGE COMPANY, LLC",Current,3/19/09,,32405,"WYCKOFF GAS STORAGE COMPANY, LLC",Current,3/19/09,,32405,"WYCKOFF GAS STORAGE COMPANY, LLC",Current,3/19/09,,32405,"WYCKOFF GAS STORAGE COMPANY, LLC",Current,3/19/09,,32405,"WYCKOFF GAS STORAGE COMPANY, LLC",Current,3/19/09,,,,,,
12/15/21,Type C Notification,7/21/20,32405,ACTIVE,"WYCKOFF GAS STORAGE COMPANY, LLC",UNGS,32405,"WYCKOFF GAS STORAGE COMPANY, LLC",Current,3/31/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/21,Type C Notification,10/11/19,32405,ACTIVE,"WYCKOFF GAS STORAGE COMPANY, LLC",UNGS,30718,KAISER-FRANCIS OIL COMPANY,Superseded,1/19/17,3/31/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/21,Type C Notification,10/1/19,32405,ACTIVE,"WYCKOFF GAS STORAGE COMPANY, LLC",UNGS,32405,"WYCKOFF GAS STORAGE COMPANY, LLC",Superseded,1/18/17,1/19/17,32405,"WYCKOFF GAS STORAGE COMPANY, LLC",Current,1/18/17,,,,,,,,,,,,,,,,,,,,,,32405,"WYCKOFF GAS STORAGE COMPANY, LLC",Current,1/18/17,,,,,,
12/15/21,Operator Validation,9/30/12,32407,ACTIVE,"GENESIS PIPELINE TEXAS, L.P.",Hazardous Liquid,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,
12/15/21,Type C Notification,6/3/15,32408,INACTIVE,"GENESIS NATURAL GAS PIPELINE, L.P.",Gas Gathering,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,,,,,,,,,,
12/15/21,Operator Validation,9/30/12,32408,INACTIVE,"GENESIS NATURAL GAS PIPELINE, L.P.",Gas Transmission,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,,,,,
12/15/21,Operator Validation,9/29/12,32409,INACTIVE,"GENESIS C02 PIPELINE, L.P.",Hazardous Liquid,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,
12/15/21,Operator Validation,9/29/12,32410,INACTIVE,"GENESIS FREE STATE PIPELINE, LLC",Hazardous Liquid,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,
12/15/21,Operator Validation,9/30/12,32411,ACTIVE,"GENESIS PIPELINE ALABAMA, LLC",Hazardous Liquid,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,,32492,Genesis,Current,3/25/09,
12/15/21,Operator Validation,9/27/12,32412,ACTIVE,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, L.L.C.",Gas Gathering,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",Current,3/25/09,,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",Current,3/25/09,,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",Current,3/25/09,,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",Current,3/25/09,,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",Current,3/25/09,,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",Current,3/25/09,,,,,,,,,,,
12/15/21,Operator Validation,9/27/12,32412,ACTIVE,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, L.L.C.",Hazardous Liquid,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",Current,3/25/09,,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",Current,3/25/09,,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",Current,3/25/09,,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",Current,3/25/09,,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",Current,3/25/09,,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",Current,3/25/09,,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",Current,3/25/09,,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",Current,3/25/09,
12/15/21,Operator Validation,9/27/12,32414,ACTIVE,"MARKWEST OKLAHOMA GAS COMPANY, L.L.C.",Gas Gathering,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/26/09,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/26/09,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/26/09,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/26/09,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/26/09,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/26/09,,,,,,,,,,,
12/15/21,Operator Validation,9/27/12,32414,ACTIVE,"MARKWEST OKLAHOMA GAS COMPANY, L.L.C.",Gas Transmission,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/26/09,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/26/09,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/26/09,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/26/09,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/26/09,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/26/09,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/26/09,,,,,,
12/15/21,Type C Notification,10/20/17,32414,ACTIVE,"MARKWEST OKLAHOMA GAS COMPANY, L.L.C.",Hazardous Liquid,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/1/16,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/1/16,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/1/16,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/1/16,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/1/16,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/1/16,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/1/16,,32414,"MARKWEST OKLAHOMA GAS COMPANY, LLC",Current,3/1/16,
12/15/21,Type C Notification,10/28/19,32416,ACTIVE,"ARCADIA GAS STORAGE, LLC",Gas Transmission,,,,,,38950,"CADEVILLE GAS STORAGE, LLC",Current,1/18/17,,38950,"CADEVILLE GAS STORAGE, LLC",Current,1/18/17,,38950,"CADEVILLE GAS STORAGE, LLC",Current,1/18/17,,38950,"CADEVILLE GAS STORAGE, LLC",Current,1/18/17,,38950,"CADEVILLE GAS STORAGE, LLC",Current,1/18/17,,38950,"CADEVILLE GAS STORAGE, LLC",Current,1/18/17,,,,,,
12/15/21,Type C Notification,8/23/13,32416,ACTIVE,"ARCADIA GAS STORAGE, LLC",Gas Transmission,38950,"CADEVILLE GAS STORAGE, LLC",Current,9/1/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/21,Operator Validation,12/26/12,32416,ACTIVE,"ARCADIA GAS STORAGE, LLC",Gas Transmission,32416,Cardinal,Superseded,3/31/09,9/1/13,32416,Cardinal,Superseded,3/31/09,1/18/17,32416,Cardinal,Superseded,3/31/09,1/18/17,32416,Cardinal,Superseded,3/31/09,1/18/17,32416,Cardinal,Superseded,3/31/09,1/18/17,32416,Cardinal,Superseded,3/31/09,1/18/17,32416,Cardinal,Superseded,3/31/09,1/18/17,,,,,
12/15/21,Type C Notification,10/28/19,32416,ACTIVE,"ARCADIA GAS STORAGE, LLC",UNGS,38950,"CADEVILLE GAS STORAGE, LLC",Current,1/18/17,,38950,"CADEVILLE GAS STORAGE, LLC",Current,1/18/17,,,,,,,,,,,,,,,,,,,,,,38950,"CADEVILLE GAS STORAGE, LLC",Current,1/18/17,,,,,,
12/15/21,Created by PHMSA,4/9/09,32419,ACTIVE,"SOUTHWEST IOWA RENEWABLE ENERGY, LLC",Gas Transmission,32419,"SOUTHWEST IOWA RENEWABLE ENERGY, LLC",Current,4/9/09,,32419,"SOUTHWEST IOWA RENEWABLE ENERGY, LLC",Current,4/9/09,,32419,"SOUTHWEST IOWA RENEWABLE ENERGY, LLC",Current,4/9/09,,32419,"SOUTHWEST IOWA RENEWABLE ENERGY, LLC",Current,4/9/09,,32419,"SOUTHWEST IOWA RENEWABLE ENERGY, LLC",Current,4/9/09,,32419,"SOUTHWEST IOWA RENEWABLE ENERGY, LLC",Current,4/9/09,,32419,"SOUTHWEST IOWA RENEWABLE ENERGY, LLC",Current,4/9/09,,,,,,
12/15/21,Operator Validation,9/28/12,32420,ACTIVE,"GRAMA RIDGE STORAGE AND TRANSPORTATION, LLC",Gas Transmission,32420,"GRAMA RIDGE STORAGE AND TRANSPORTATION, LLC",Current,4/10/09,,32420,"GRAMA RIDGE STORAGE AND TRANSPORTATION, LLC",Current,4/10/09,,32420,"GRAMA RIDGE STORAGE AND TRANSPORTATION, LLC",Current,4/10/09,,32420,"GRAMA RIDGE STORAGE AND TRANSPORTATION, LLC",Current,4/10/09,,32420,"GRAMA RIDGE STORAGE AND TRANSPORTATION, LLC",Current,4/10/09,,32420,"GRAMA RIDGE STORAGE AND TRANSPORTATION, LLC",Current,4/10/09,,32420,"GRAMA RIDGE STORAGE AND TRANSPORTATION, LLC",Current,4/10/09,,,,,,
12/15/21,Type C Notification,10/24/19,32420,ACTIVE,"GRAMA RIDGE STORAGE AND TRANSPORTATION, LLC",UNGS,31705,KATY STORAGE & TRANSPORTATION LP,Current,1/18/17,,31705,KATY STORAGE & TRANSPORTATION LP,Current,1/18/17,,,,,,,,,,,,,,,,,,,,,,31705,KATY STORAGE & TRANSPORTATION LP,Current,1/18/17,,,,,,
12/15/21,Operator Validation,5/23/12,32422,ACTIVE,"NEPTUNE LNG, LLC",Gas Transmission,32422,"NEPTUNE LNG, LLC",Current,5/1/09,,32422,"NEPTUNE LNG, LLC",Current,5/1/09,,32422,"NEPTUNE LNG, LLC",Current,5/1/09,,32422,"NEPTUNE LNG, LLC",Current,5/1/09,,32422,"NEPTUNE LNG, LLC",Current,5/1/09,,32422,"NEPTUNE LNG, LLC",Current,5/1/09,,32422,"NEPTUNE LNG, LLC",Current,5/1/09,,,,,,
12/15/21,Operator Validation,5/23/12,32422,ACTIVE,"NEPTUNE LNG, LLC",LNG Plant/Facility,32422,"NEPTUNE LNG, LLC",Current,5/1/09,,32422,"NEPTUNE LNG, LLC",Current,5/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
